;;;t;V in;V out
;;;-0,00001262;4,28;
;;;-0,0000126;4,28;
;;;-0,00001258;4,28;
;;;-0,00001256;4,28;
;;;-0,00001254;4,28;
;;;-0,00001252;4,24;
;;;-0,0000125;4,28;
;;;-0,00001248;4,28;
;;;-0,00001246;4,24;
;;;-0,00001244;4,28;
;;;-0,00001242;4,28;
;;;-0,0000124;4,24;
;;;-0,00001238;4,28;
;;;-0,00001236;4,24;
;;;-0,00001234;4,28;
;;;-0,00001232;4,2;
;;;-0,0000123;4,28;
;;;-0,00001228;4,2;
;;;-0,00001226;4,28;
;;;-0,00001224;4,24;
;;;-0,00001222;4,24;
;;;-0,0000122;4,2;
;;;-0,00001218;4,2;
;;;-0,00001216;4,24;
;;;-0,00001214;4,2;
;;;-0,00001212;4,2;
;;;-0,0000121;4,2;
;;;-0,00001208;4,24;
;;;-0,00001206;4,2;
;;;-0,00001204;4,2;
;;;-0,00001202;4,2;
;;;-0,000012;4,16;
;;;-0,00001198;4,16;
;;;-0,00001196;4,2;
;;;-0,00001194;4,2;
;;;-0,00001192;4,2;
;;;-0,0000119;4,16;
;;;-0,00001188;4,2;
;;;-0,00001186;4,16;
;;;-0,00001184;4,2;
;;;-0,00001182;4,16;
;;;-0,0000118;4,16;
;;;-0,00001178;4,2;
;;;-0,00001176;4,16;
;;;-0,00001174;4,2;
;;;-0,00001172;4,16;
;;;-0,0000117;4,16;
;;;-0,00001168;4,16;
;;;-0,00001166;4,12;
;;;-0,00001164;4,16;
;;;-0,00001162;4,16;
;;;-0,0000116;4,16;
;;;-0,00001158;4,12;
;;;-0,00001156;4,12;
;;;-0,00001154;4,16;
;;;-0,00001152;4,12;
;;;-0,0000115;4,16;
;;;-0,00001148;4,08;
;;;-0,00001146;4,08;
;;;-0,00001144;4,12;
;;;-0,00001142;4,12;
;;;-0,0000114;4,12;
;;;-0,00001138;4,08;
;;;-0,00001136;4,12;
;;;-0,00001134;4,12;
;;;-0,00001132;4,12;
;;;-0,0000113;4,16;
;;;-0,00001128;4,08;
;;;-0,00001126;4,08;
;;;-0,00001124;4,12;
;;;-0,00001122;4,08;
